type,id,title,old_image,new_image
package,pkg01,باقة الباحث العلمي,,images/packages/pkg01.png
section,pkg01-sec01,اقتراح عنوان البحث,,images/sections/pkg01-sec01.png
bot,pkg01-sec01-bot01,اقتراح عنوان وفكرة بحث نوعي,,images/bots/pkg01-sec01-bot01.png
bot,pkg01-sec01-bot02,اقتراح عنوان وفكرة بحث كمّي,,images/bots/pkg01-sec01-bot02.png
bot,pkg01-sec01-bot03,اقتراح عنوان وفكرة بحث مختلط,,images/bots/pkg01-sec01-bot03.png
section,pkg01-sec02,صناعة خطة البحث,,images/sections/pkg01-sec02.png
bot,pkg01-sec02-bot01,صناعة خطة بحث نوعي,,images/bots/pkg01-sec02-bot01.png
bot,pkg01-sec02-bot02,صناعة خطة بحث كمّي,,images/bots/pkg01-sec02-bot02.png
bot,pkg01-sec02-bot03,صناعة خطة بحث مختلط,,images/bots/pkg01-sec02-bot03.png
section,pkg01-sec03,دعم خطة البحث,,images/sections/pkg01-sec03.png
bot,pkg01-sec03-bot01,البحث عن الدراسات السابقة,,images/bots/pkg01-sec03-bot01.png
bot,pkg01-sec03-bot02,السمينار البحثي,,images/bots/pkg01-sec03-bot02.png
bot,pkg01-sec03-bot03,اكتشاف الفجوة البحثية,,images/bots/pkg01-sec03-bot03.png
section,pkg01-sec04,خطة البحث الشاملة,,images/sections/pkg01-sec04.png
bot,pkg01-sec04-bot01,الخطة النوعية الشاملة,,images/bots/pkg01-sec04-bot01.png
bot,pkg01-sec04-bot02,الخطة الكمّية الشاملة,,images/bots/pkg01-sec04-bot02.png
bot,pkg01-sec04-bot03,الخطة المختلطة الشاملة,,images/bots/pkg01-sec04-bot03.png
section,pkg01-sec05,كتابة البحث غير الميداني,,images/sections/pkg01-sec05.png
bot,pkg01-sec05-bot01,كتابة البحث الوثائقي,,images/bots/pkg01-sec05-bot01.png
bot,pkg01-sec05-bot02,كتابة البحث النصي,,images/bots/pkg01-sec05-bot02.png
bot,pkg01-sec05-bot03,كتابة البحث التاريخي,,images/bots/pkg01-sec05-bot03.png
bot,pkg01-sec05-bot04,كتابة البحث التأصيلي,,images/bots/pkg01-sec05-bot04.png
section,pkg01-sec06,التوثيق والتحرير العلمي,,images/sections/pkg01-sec06.png
bot,pkg01-sec06-bot01,المحتوى الشرعي الموثق,,images/bots/pkg01-sec06-bot01.png
bot,pkg01-sec06-bot02,إنشاء وتوثيق المحتوى,,images/bots/pkg01-sec06-bot02.png
bot,pkg01-sec06-bot03,البحوث الكاملة من المكتبة الشاملة,,images/bots/pkg01-sec06-bot03.png
bot,pkg01-sec06-bot04,الجامع في تحصيل المراجع,,images/bots/pkg01-sec06-bot04.png
bot,pkg01-sec06-bot05,التوثيق المرجعي الإحالي للروابط,,images/bots/pkg01-sec06-bot05.png
bot,pkg01-sec06-bot06,التوثيق المرجعي الإحالي للملفات,,images/bots/pkg01-sec06-bot06.png
section,pkg01-sec07,تحليل البحث الميداني,,images/sections/pkg01-sec07.png
bot,pkg01-sec07-bot01,التحليل الإحصائي التنفيذي,,images/bots/pkg01-sec07-bot01.png
bot,pkg01-sec07-bot02,تحليل النتائج البحثية,,images/bots/pkg01-sec07-bot02.png
bot,pkg01-sec07-bot03,التحليل الإحصائي المتقدم,,images/bots/pkg01-sec07-bot03.png
bot,pkg01-sec07-bot04,التقرير الإحصائي,,images/bots/pkg01-sec07-bot04.png
bot,pkg01-sec07-bot05,تحليل البحث الميداني الشامل,,images/bots/pkg01-sec07-bot05.png
section,pkg01-sec08,التحرير اللغوي للنصوص,,images/sections/pkg01-sec08.png
bot,pkg01-sec08-bot01,إعادة الصياغة,,images/bots/pkg01-sec08-bot01.png
bot,pkg01-sec08-bot02,التدقيق اللغوي,,images/bots/pkg01-sec08-bot02.png
bot,pkg01-sec08-bot03,تشكيل النصوص العربية,,images/bots/pkg01-sec08-bot03.png
bot,pkg01-sec08-bot04,إعراب النصوص,,images/bots/pkg01-sec08-bot04.png
section,pkg01-sec09,التراجم والمعاجم,,images/sections/pkg01-sec09.png
bot,pkg01-sec09-bot01,ترجمة الكلمات الغريبة,,images/bots/pkg01-sec09-bot01.png
bot,pkg01-sec09-bot02,ترجمة الأعلام,,images/bots/pkg01-sec09-bot02.png
bot,pkg01-sec09-bot03,ترجمة المذاهب والبلدان,,images/bots/pkg01-sec09-bot03.png
section,pkg01-sec10,الجودة والإخراج,,images/sections/pkg01-sec10.png
bot,pkg01-sec10-bot01,تخريج الحديث النبوي,,images/bots/pkg01-sec10-bot01.png
bot,pkg01-sec10-bot02,استيفاء المراجع وترتيبها,,images/bots/pkg01-sec10-bot02.png
bot,pkg01-sec10-bot03,الملخص والإغلاق البحثي,,images/bots/pkg01-sec10-bot03.png
bot,pkg01-sec10-bot04,استدعاء بوتات البحث,,images/bots/pkg01-sec10-bot04.png
package,pkg02,باقة ملحقات الباحث,,images/packages/pkg02.png
section,pkg02-sec01,المراجعة والفحص,,images/sections/pkg02-sec01.png
bot,pkg02-sec01-bot01,مراجعة البحث النوعي الميداني,,images/bots/pkg02-sec01-bot01.png
bot,pkg02-sec01-bot02,مراجعة البحث الكمي,,images/bots/pkg02-sec01-bot02.png
bot,pkg02-sec01-bot03,مراجعة البحث المختلط,,images/bots/pkg02-sec01-bot03.png
bot,pkg02-sec01-bot04,مراجعة البحث غير الميداني,,images/bots/pkg02-sec01-bot04.png
